IUCN_name,hp3_zoo_prediction_name
Brassomys albidens,Coccymys albidens
Crocidura sapaensis,Crocidura indochinensis
Crocidura umbra,Crocidura maxi
Eudorcas tilonura,Eudorcas rufifrons
Fukomys mechowii,Fukomys mechowi
Gazella arabica,Gazella gazella
Gazella marica,Gazella subgutturosa
Gerbillus mackilligini,Gerbillus mackillingini
Hipposideros atrox,Hipposideros bicolor
Hipposideros khasiana,Hipposideros larvatus
Hylopetes sagitta,Hylopetes lepidus
Mirzamys louiseae,Pseudohydromys occidentalis
Myotis borneoensis,Myotis montivagus
Myotis peytoni,Myotis montivagus
Nannospalax ehrenbergi,Spalax ehrenbergi
Neoromicia isabella,Neoromicia rendalli
Neoromicia roseveari,Neoromicia brunnea
Piliocolobus waldroni,Piliocolobus badius
Pipistrellus grandidieri,Neoromicia flavescens
Rhinolophus belligerator,Rhinolophus arcuatus
Rhinolophus mcintyrei,Rhinolophus arcuatus
Rhinolophus microglobosus,Rhinolophus stheno
Rhinolophus proconsulis,Rhinolophus arcuatus
Rhinolophus tatar,Rhinolophus euryotis
Triaenops afer,Triaenops persicus
Tupaia discolor,Tupaia glis
Tupaia ferruginea,Tupaia glis
Tupaia hypochrysa,Tupaia glis
Tupaia salatana,Tupaia longipes
