country,binomial
Bangladesh,Aonyx cinereus
Bangladesh,Arctictis binturong
Bangladesh,Arctogalidia trivirgata
Bangladesh,Arctonyx albogularis
Bangladesh,Arctonyx collaris
Bangladesh,Arielulus circumdatus
Bangladesh,Atherurus macrourus
Bangladesh,Axis porcinus
Bangladesh,Bandicota bengalensis
Bangladesh,Bandicota indica
Bangladesh,Barbastella leucomelas
Bangladesh,Berylmys bowersi
Bangladesh,Callosciurus erythraeus
Bangladesh,Callosciurus pygerythrus
Bangladesh,Cannomys badius
Bangladesh,Capricornis thar
Bangladesh,Caprolagus hispidus
Bangladesh,Catopuma temminckii
Bangladesh,Chaerephon plicatus
Bangladesh,Coelops frithii
Bangladesh,Crocidura attenuata
Bangladesh,Cuon alpinus
Bangladesh,Cynopterus brachyotis
Bangladesh,Cynopterus sphinx
Bangladesh,Dremomys lokriah
Bangladesh,Eonycteris spelaea
Bangladesh,Eptesicus pachyotis
Bangladesh,Eptesicus serotinus
Bangladesh,Falsistrellus affinis
Bangladesh,Felis chaus
Bangladesh,Golunda ellioti
Bangladesh,Harpiocephalus harpia
Bangladesh,Helarctos malayanus
Bangladesh,Herpestes auropunctatus
Bangladesh,Herpestes edwardsii
Bangladesh,Hesperoptenus tickelli
Bangladesh,Hipposideros armiger
Bangladesh,Hipposideros ater
Bangladesh,Hipposideros cineraceus
Bangladesh,Hipposideros galeritus
Bangladesh,Hipposideros lankadiva
Bangladesh,Hipposideros larvatus
Bangladesh,Hipposideros pomona
Bangladesh,Hoolock hoolock
Bangladesh,Hylopetes alboniger
Bangladesh,Hystrix brachyura
Bangladesh,Ia io
Bangladesh,Kerivoula hardwickii
Bangladesh,Kerivoula picta
Bangladesh,Leopoldamys edwardsi
Bangladesh,Leopoldamys sabanus
Bangladesh,Lepus nigricollis
Bangladesh,Lutra lutra
Bangladesh,Lutrogale perspicillata
Bangladesh,Macaca arctoides
Bangladesh,Macaca assamensis
Bangladesh,Macaca fascicularis
Bangladesh,Macaca leonina
Bangladesh,Macaca mulatta
Bangladesh,Macroglossus sobrinus
Bangladesh,Madromys blanfordi
Bangladesh,Manis crassicaudata
Bangladesh,Manis pentadactyla
Bangladesh,Martes flavigula
Bangladesh,Megaderma lyra
Bangladesh,Megaderma spasma
Bangladesh,Melogale moschata
