viral_species,viral_species_mod
Alpha coronavirus NL63,Alphacoronavirus NL63
Avian Paramyxovirus 6,Avian paramyxovirus 6
Bat Alphacoronavirus/GS2013/HuB2013,Bat alphacoronavirus/GS2013/HuB2013
bat coronavirus HKU6,Bat coronavirus HKU6
Bat Paramyxovirus R_aeg_UPE766/525/122,Bat paramyxovirus R_aeg_UPE766/525/122
Bat Paramyxovirus/B16-40,Bat paramyxovirus/B16-40
Dengue virus serotype 2,Dengue virus
Dengue virus serotype 3,Dengue virus
Dengue virus serotype 4,Dengue virus
Duck Coronavirus,Duck coronavirus
"Influenza A, partial subtype H1                  ",Influenza A
"Influenza A, partial subtype H3",Influenza A
"Influenza A, partial subtype H9 ",Influenza A
"Influenza A, partial subtype N1",Influenza A
"Influenza A, subtype H10N7",Influenza A
"Influenza A, subtype H1N1       ",Influenza A
"Influenza A, subtype H3N2",Influenza A
"Influenza A, subtype H3N8",Influenza A
"Influenza A, subtype H4N6",Influenza A
"Influenza A, subtype H5N1",Influenza A
"Influenza A, subtype H6N2",Influenza A
"Influenza A, subtype H9N2",Influenza A
Newcastle Disease Virus,Newcastle disease virus
Nipah Virus,Nipah virus
Pigeon-Dominant Coronavirus,Pigeon-dominant coronavirus
Porcine Parainfluenzavirus 1,Porcine parainfluenzavirus 1
Rhinolophus/Hipposideros Alphacoronavirus,Rhinolophus/Hipposideros alphacoronavirus
Rodent Coronavirus,Rodent coronavirus
Seoul Virus,Seoul virus
